name,ranking,characters,score,change
SuPeRbOoMfAn,1,captain falcon;pikachu;kirby,10.000,NEW
Isai,2,ssb64,9.999,NEW
Zantetsu,45,pikachu,5.82,NEW
Wookiee,46,pikachu,5.81,NEW
Robert,47,pikachu,5.60,NEW
$$$ Jim $$$,48,fox,5.48,NEW
Snorlax,49,pikachu,5.43,NEW
CTG,50,jigglypuff,5.35,NEW
Janitor,51,captain falcon,5.33,NEW
Da Bear,52,pikachu,5.28,NEW
SotoH,53,kirby,5.21,NEW
Dajjal,54,fox,5.17,NEW
darkhorse,55,captain falcon,5.06,NEW
hipstur,56,fox,4.92,NEW
nothing,57,captain falcon,4.90,NEW
b link,58,pikachu,4.77,NEW
Jimmy Joe,59,pikachu,4.74,NEW
Lorenzo,60,donkey kong,4.69,NEW
D35,61,pikachu,4.65,NEW
Dogg,62,pikachu,4.64,NEW
Pete,63,yoshi,4.57,NEW
Jason,64,captain falcon,4.48,NEW
