Tournament,slug,Player 1, Player 2
Don't Park on the Grass,don-t-park-on-the-grass,jason,letsgo
Boss Battle 2,boss-battle-2-1,janitor,pugs
Boss Battle 2,boss-battle-2-1,fireblaster,fumbles
Boss Battle 2,boss-battle-2-1,darkhorse,madrush21
Boss Battle 2,boss-battle-2-1,combo blaze,vinsanity
Boss Battle 2,boss-battle-2-1,fumbles,dogg
Boss Battle 2,boss-battle-2-1,d35,limesoda
Boss Battle 2,boss-battle-2-1,janitor,a to the z
Superboomed,superboomed,fireblaster,handsometom
Superboomed,superboomed,tr3gthez,firo
Superboomed,superboomed,robert,jimmy joe
