Tournament,slug,startDate,endDate,entrants
The Big House 6,the-big-house-6,2016-10-07,2016-10-09,777
Super Smash Con 2016,super-smash-con-2016,2016-08-11,2016-08-14,1272
Pound 2016,pound-2016,2016-04-02,2016-04-03,513
Shine 2016,shine-2016,2016-08-26,2016-08-28,483
WTFox2,wtfox-2,2016-07-02,2016-07-04,174
BEAST 6,beast-6,2016-02-18,2016-02-21,267
PAX Arena,pax-arena,2016-01-29,2016-01-31,49
Smash N' Splash 2,smash-n-splash-2-1,2016-06-11,2016-06-12,261
Low Tier City 4,low-tier-city-4,2016-06-18,2016-06-20,317
Genesis 3,g3,2016-01-15,2016-01-18,1096
Don't Park on the Grass,don-t-park-on-the-grass,2016-12-17,2016-12-19,201
CEO 2016,ceo-2016,2016-06-24,2016-06-27,906
Clutch City Clash,clutch-city-clash-powered-by-xyience,2016-08-06,2016-08-08,241
Syndicate 2016,syndicate-2016,2016-09-10,2016-09-11,320
Eclipse 2,eclipse-2,2016-10-20,2016-10-22,175
Canad Cup 2016.canada-cup-2016,2016-10-28,2016-10-30,184
UGC Smash Open,ugc-smash-open,2016-12-02,2016-12-05,205
Apex 2016,apex-2016,2016-06-17,2016-06-19,309
Get on my Level 2016,get-on-my-level-2016,2016-05-20,2016-05-22,489
